title	year	trailer_duration	actors	awards	box_office	country	director	dvd_release	genre	imdb_id	imdb_type	imdb_votes	language	long_plot	movie_runtime	poster	production	rated	rating	release_date	short_plot	video_id	writer	youtube_comment	youtube_dislike	youtube_favorite	youtube_like	youtube_link	youtube_view
Antlers	2020	123.0	Keri Russell, Jesse Plemons, Jeremy T. Thomas, Graham Greene			USA	Scott Cooper		Horror	tt7740510	movie		English	A small-town Oregon teacher and her brother, the local sheriff, become entwined with a young student harboring a dangerous secret with frightening consequences.		https://m.media-amazon.com/images/M/MV5BMWZkYTlmOTgtMmU2NS00NzQzLWE4MGEtZGY1MTUwZjA2ODBlXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg		R			A small-town Oregon teacher and her brother, the local sheriff, become entwined with a young student harboring a dangerous secret with frightening consequences.	0rM5WnicOAE	"C. Henry Chaisson (screenplay), Nick Antosca (screenplay), Scott Cooper (screenplay by), Nick Antosca (short story ""The Quiet Boy"")"	1125.0	468.0	0.0	13610.0	www.youtube.com/watch/0rM5WnicOAE	761685.0
Bloodshot	2020	131.0	Eiza González, Sam Heughan, Vin Diesel, Toby Kebbell			USA	Dave Wilson		Action, Drama, Fantasy, Sci-Fi	tt1634106	movie		English	Ray Garrison, a slain soldier, is re-animated with superpowers.		https://m.media-amazon.com/images/M/MV5BMWNkNzhmYzUtZGYwMS00YTY5LWI0MmYtOTA5NDJmNGMxNjYzXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_SX300.jpg				21 Feb 2020	Ray Garrison, a slain soldier, is re-animated with superpowers.	KB_uCjht0nA	Eric Heisserer (screenplay), Bob Layton (comic book), Don Perlin (comic book), Kevin VanHook (comic book), Jeff Wadlow (screenplay)	333.0	178.0	0.0	2794.0	www.youtube.com/watch/KB_uCjht0nA	114496.0
Jungle Cruise	2020	144.0	Jesse Plemons, Emily Blunt, Dwayne Johnson, Jack Whitehall			USA	Jaume Collet-Serra		Adventure, Family, Fantasy	tt0870154	movie		English	Based on Disneyland's theme park ride where a small riverboat takes a group of travelers through a jungle filled with dangerous animals and reptiles, but with a supernatural element.		https://m.media-amazon.com/images/M/MV5BY2QxNmVjZTAtOTg3Zi00ZTMxLWJiODAtZDQ3OGEwOGI4MGY3XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg	Walt Disney Pictures			24 Jul 2020	Based on Disneyland's theme park ride where a small riverboat takes a group of travelers through a jungle filled with dangerous animals and reptiles, but with a supernatural element.	FF932ZU6Kn4	Glenn Ficarra (screenplay), Michael Green, John Requa (screenplay)	1340.0	729.0	0.0	12997.0	www.youtube.com/watch/FF932ZU6Kn4	949628.0
Onward	2020	159.0	Tom Holland, Chris Pratt, Julia Louis-Dreyfus, Octavia Spencer			USA	Dan Scanlon		Animation, Adventure, Comedy, Family, Fantasy	tt7146812	movie		English	Set in a suburban fantasy world, two teenage elf brothers embark on a quest to discover if there is still magic out there.		https://m.media-amazon.com/images/M/MV5BYWM1ZDQ5YzctOWI4Yi00YmQ3LThkMTctMGM5MTc0ZWNhODhjXkEyXkFqcGdeQXVyNDg4NjY5OTQ@._V1_SX300.jpg	Walt Disney Pictures			06 Mar 2020	Set in a suburban fantasy world, two teenage elf brothers embark on a quest to discover if there is still magic out there.	Alv1znZA6Es	Dan Scanlon	405.0	221.0	0.0	5261.0	www.youtube.com/watch/Alv1znZA6Es	259400.0
The Turning	2020	151.0	Mackenzie Davis, Finn Wolfhard, Brooklynn Prince, Karen Egan			USA	Floria Sigismondi		Drama, Horror	tt7510346	movie		English	"A young governess is hired by a man who has become responsible for his young nephew and niece after the deaths of their parents. A modern take on Henry James' novella ""The Turn of the Screw""."		https://m.media-amazon.com/images/M/MV5BY2ZiMzVkNzktZjlmMy00MWE1LWJkMjgtZTFiMWYyYTU3M2FjXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_SX300.jpg	Amblin Entertainment	PG-13		24 Jan 2020	"A young governess is hired by a man who has become responsible for his young nephew and niece after the deaths of their parents. A modern take on Henry James' novella ""The Turn of the Screw""."	VqCpR19iBpc	Carey W. Hayes, Chad Hayes, Henry James (novel)	984.0	516.0	0.0	11312.0	www.youtube.com/watch/VqCpR19iBpc	554996.0
The Gentlemen	2020	154.0	Matthew McConaughey, Charlie Hunnam, Michelle Dockery, Jeremy Strong			USA	Guy Ritchie		Action, Crime	tt8367814	movie		English	A very British drug lord tries to sell off his highly profitable empire to a dynasty of Oklahoma billionaires.		https://m.media-amazon.com/images/M/MV5BZTk1NzJmNzUtODJkNy00YzAwLWFiMjgtNWRlMDI1ZjUzMjMzXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg				24 Jan 2020	A very British drug lord tries to sell off his highly profitable empire to a dynasty of Oklahoma billionaires.	Ify9S7hj480	Guy Ritchie (screenplay by), Guy Ritchie (story by), Ivan Atkinson (story), Marn Davies (story)	1040.0	447.0	0.0	16483.0	www.youtube.com/watch/Ify9S7hj480	1293911.0
The King's Man	2020	151.0	Gemma Arterton, Aaron Taylor-Johnson, Matthew Goode, Ralph Fiennes			UK, USA	Matthew Vaughn		Action, Adventure, Comedy	tt6856242	movie		English	As a collection of history's worst tyrants and criminal masterminds gather to plot a war to wipe out millions, one man must race against time to stop them.		https://m.media-amazon.com/images/M/MV5BOTNiOTlhNzMtZDgxNy00M2MwLTgwNTAtZTM2NGZmYTJjMDU3XkEyXkFqcGdeQXVyNjg2NjQwMDQ@._V1_SX300.jpg	20th Century Fox			14 Feb 2020	As a collection of history's worst tyrants and criminal masterminds gather to plot a war to wipe out millions, one man must race against time to stop them.	5aq0o2C6LVE	Karl Gajdusek (screenplay), Dave Gibbons (characters), Jane Goldman (screenplay), Mark Millar (characters), Matthew Vaughn (characters), Matthew Vaughn (screenplay)	528.0	199.0	0.0	8648.0	www.youtube.com/watch/5aq0o2C6LVE	458492.0
The Secret Garden	2020	101.0	Colin Firth, Julie Walters, Maeve Dermody, Dixie Egerickx			UK, France	Marc Munden		Drama, Family, Fantasy	tt2702920	movie			A girl discovers a magical garden hidden at her uncle's house.		https://m.media-amazon.com/images/M/MV5BZjRmZjVhYjItYjZkNy00YWYzLWFmYmEtMWU4ZjZjNWEwM2NhXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg				15 Apr 2020	A girl discovers a magical garden hidden at her uncle's house.	txDYwh46tew	Frances Hodgson Burnett (novel), Jack Thorne (adaptation)	344.0	430.0	0.0	2714.0	www.youtube.com/watch/txDYwh46tew	169067.0
Like a Boss	2020	144.0	Rose Byrne, Salma Hayek, Tiffany Haddish, Ari Graynor			USA	Miguel Arteta		Comedy	tt7545266	movie		English	Two female friends with very different ideals decide to start a beauty company together. One is more practical, while the other wants to earn her fortune and live a lavish lifestyle.			Paramount Pictures			10 Jan 2020	Two female friends with very different ideals decide to start a beauty company together. One is more practical, while the other wants to earn her fortune and live a lavish lifestyle.	xOQioNJZ_qc	Adam Cole-Kelly, Sam Pitman	195.0	423.0	0.0	1688.0	www.youtube.com/watch/xOQioNJZ_qc	101796.0
Bad Boys for Life	2020	158.0	Will Smith, Vanessa Hudgens, Martin Lawrence, Alexander Ludwig			USA	Adil El Arbi, Bilall Fallah		Action, Comedy, Crime, Thriller	tt1502397	movie		English	Marcus Burnett is now a police inspector and Mike Lowery is in a midlife crisis. They unite again when an Albanian mercenary, whose brother they killed, promises them an important bonus.		https://m.media-amazon.com/images/M/MV5BOTQwMmM5NDMtOGEyMS00NzY2LWExZmQtZjhkYTVkMGU1NTA2XkEyXkFqcGdeQXVyODkzNTgxMDg@._V1_SX300.jpg	Sony Pictures			17 Jan 2020	Marcus Burnett is now a police inspector and Mike Lowery is in a midlife crisis. They unite again when an Albanian mercenary, whose brother they killed, promises them an important bonus.	F9x4cb7P-hI	Joe Carnahan (screenplay by), Chris Bremner (screenplay by), Peter Craig (story by), Joe Carnahan (story by), Chris Bremner (story by)	1105.0	593.0	0.0	12722.0	www.youtube.com/watch/F9x4cb7P-hI	562960.0
