name,description,price
TCL 30XL Unlocked Cell Phone,"6GB + 64GB, 6.82 inch Display, 5000mAh, Smartphone Android 12, 50MP Rear+13MP Front Camera, US Version, Dual Speaker, Night Mist (No 5G)",$149.99
UMIDIGI G3 MAX," (8+128GB) Android 13 Unlocked Cell Phone,50MP Ultra-Clear AI Camera Smartphone,6.6-inch FHD Display Android Phone,5150mAh Massive Battery Mobile Phone Support Expandable Up to 1TB",$139.99
Google Pixel 6a," - 5G Android Phone - Unlocked Smartphone with 12 Megapixel Camera and 24-Hour Battery - Charcoal",$314.99
TCL 30 SE," |2022| 6.52'' Unlocked Cell Phone, 4+64GB Android Phone GSM Unlocked Smartphone with 50MP Camera, 5000mAh, Single SIM, US Version, Space Gray (Not Support Verizon/Boost/5G)",$129.99
Motorola Moto G Stylus," | 2022 | 2-Day battery | Unlocked| Made for US by Motorola | 6/128GB | 50MP Camera | Twilight Blue",$129.99
Samsung Galaxy S21,"5G | Factory Unlocked Android Cell Phone | US Version 5G Smartphone | Pro-Grade Camera, 8K Video, 64MP High Res | 128GB, Phantom Violet (SM-G991UZVAXAA) - (Renewed)",$254.99
TCL ION V," |2023| Cell Phone with 6.0'' HD+ Display, 3+32GB Unlocked Phone, 3000mAh Battery, Android 13 Smartphone, Single SIM, US Version, Space Black",$99.99
OnePlus Nord N30 5G," | Unlocked Dual-SIM Android Smart Phone | 6.7" LCD Display | 8 +128GB | 5000 mAh Battery | 50W Fast Charging | 108MP Camera | Chromatic Gray",$299.99
Samsung Galaxy S20+," 5G 128GB Fully Unlocked Smartphone (Renewed)",$229.13
OnePlus Nord N200," | Large 5000mAh Battery | 5G Unlocked Android Smartphone U.S Version | 64GB Storage | 6.49'' Full HD+LCD Screen | 90Hz Smooth Display | Fast Charging | Triple Camera,Blue Quantum",$149.99
